league.year,league.name,phase.name,entry.name,seq,person.ref,person.name.last,person.name.given,S_FIRST,S_LAST
1968,Mexican League,regular,Jalisco,0,M90018,Garibay,Memo,,
1968,Mexican League,regular,Mexico City Reds,0,M90026,Herrera,Tomas,,
1968,Mexican League,regular,Mexico City Tigers,0,M90039,Garcia,Jose,,
1968,Mexican League,regular,Monterrey,0,M90047,Miranda,Willie,,
1968,Mexican League,regular,Poza Rica,1,M90052,Brown,Winston,,
1968,Mexican League,regular,Poza Rica,2,M90060,Garza,Ricardo,,
1968,Mexican League,regular,Puebla,0,M90071,Castano,Tony,,
1968,Mexican League,regular,Reynosa,0,M90083,Arroyo,Luis,,
1968,Mexican League,regular,Veracruz,0,M90094,Garcia,Vinicio,,
1968,Mexican Rookie League,regular,Caborca,0,M90018,Gonzalez,Sergio,,
1968,Mexican Rookie League,regular,Empalme,0,M90026,Ruiz,Mauro,,
1968,Mexican Rookie League,regular,Agua Prieta,0,M90039,Ochoa,Zenon,,
1968,Mexican Rookie League,regular,Cananea,0,M90047,Ibarra,Alfonso,,
