league.year,league.name,phase.name,entry.name,seq,person.ref,person.name.last,person.name.given,S_FIRST,S_LAST
1958,Alabama-Florida League,regular,Selma,0,M90018,Giordano,Thomas,,
1958,Alabama-Florida League,regular,Columbus,0,M90026,Davis,R. Brandon,,
1958,Alabama-Florida League,regular,Pensacola,0,M90039,Fitzgerald,Louis,,
1958,Alabama-Florida League,regular,Dothan,0,M90047,Dunn,J. C.,,
1958,Alabama-Florida League,regular,Montgomery,1,M90052,Rowe,Lynwood (Schoolboy),,
1958,Alabama-Florida League,regular,Montgomery,2,M90060,Berry,Cornelius (Neil),19580522,
1958,Alabama-Florida League,regular,Graceville,0,M90071,Fandozzi,Michael,,
1958,Alabama-Florida League,regular,Fort Walton Beach,1,M90083,Wilson,C. Nesbit,,
1958,Alabama-Florida League,regular,Fort Walton Beach,2,M90094,Fletcher,Richard,19580602,
1958,Alabama-Florida League,regular,Fort Walton Beach,3,M90107,Magi,Vincent,19580605,
1958,Alabama-Florida League,regular,Panama City,1,M90110,Brightwell,William,,
1958,Alabama-Florida League,regular,Panama City,2,M90129,Clark,Charles,19580602,
1958,Alabama-Florida League,regular,Panama City,3,M90132,Tipton,Joseph,19580605,
1958,Alabama-Florida League,regular,Panama City,4,M90141,Grant,Charles,19580706,
1958,Appalachian League,regular,Johnson City,0,M90018,Lyons,Edmund,,
1958,Appalachian League,regular,Wytheville,0,M90026,Kurowski,George (Whitey),,
1958,Appalachian League,regular,Salem,0,M90039,Dorton,M. Lamar (Larry),,
1958,Appalachian League,regular,Pulaski,0,M90047,Martin,Hershel,,
1958,Appalachian League,regular,Bluefield,1,M90052,Lutz,Bernard,,
1958,Appalachian League,regular,Bluefield,2,M90060,Hofmann,Fred,19580728,
1958,Appalachian League,regular,Bluefield,3,M90071,Hooper,Robert,19580804,
1958,California League,regular,Fresno,0,M90018,McCormick,Myron (Mike),,
1958,California League,regular,Bakersfield,0,M90026,Owens,Paul,,
1958,California League,regular,Stockton,0,M90039,Pries,Donald,,
1958,California League,regular,Visalia,1,M90047,Edwards,C. Bruce,,
1958,California League,regular,Visalia,2,M90052,Mattick,Robert,19580727,
1958,California League,regular,Visalia,3,M90060,Taylor,Larry,19580729,
1958,California League,regular,Modesto,0,M90071,Phillips,Damon,,
1958,California League,regular,Reno,0,M90083,Perry,Raymond,,
1958,California League,regular,San Jose/Las Vegas,0,M90094,Paepke,Jack,,
1958,California League,regular,Salinas,1,M90107,Marasco,Victor,,
1958,California League,regular,Salinas,2,M90110,Forthmann,J. Albert,19580810,
1958,Carolina League,regular,Danville,0,M90018,Hofman,Robert,,
1958,Carolina League,regular,High Point-Thomasville,0,M90026,Lucchesi,Frank,,
1958,Carolina League,regular,Greensboto,0,M90039,Hoscheit,Vernard,,
1958,Carolina League,regular,Burlington,0,M90047,May,Merrilly (Pinky),,
1958,Carolina League,regular,Winston-Salem,0,M90052,Benson,Vernon,,
1958,Carolina League,regular,Raleigh,0,M90060,Okrie,Leonard,,
1958,Carolina League,regular,Wilson,1,M90071,Hooper,Robert,,
1958,Carolina League,regular,Wilson,2,M90083,Lutz,Bernard,19580729,
1958,Carolina League,regular,Durham,0,M90094,Kress,Charles,,
1958,Eastern League,regular,Lancaster,0,M90018,Pesky,John,,
1958,Eastern League,regular,Reading,0,M90026,McCullough,Clyde,,
1958,Eastern League,regular,York,0,M90039,Schultz,Joseph,,
1958,Eastern League,regular,Springfield,0,M90047,Gilbert,Andrew,,
1958,Eastern League,regular,Williamsport,0,M90052,Carter,Richard,,
1958,Eastern League,regular,Binghamton,0,M90060,Souchock,Stephen,,
1958,Eastern League,regular,Albany,0,M90071,Evans,Alfred,,
1958,Eastern League,regular,Allentown,0,M90083,Popowski,Edward,,
1958,Illinois-Indiana-Iowa League,regular,Cedar Rapids,0,M90018,Monchak,Alex,,
1958,Illinois-Indiana-Iowa League,regular,Davenport,0,M90026,Hutchinson,Ira,,
1958,Illinois-Indiana-Iowa League,regular,Green Bay,0,M90039,Reiser,Harold (Pete),,
1958,Illinois-Indiana-Iowa League,regular,Burlington,0,M90047,Dixon,Walter,,
1958,Illinois-Indiana-Iowa League,regular,Rochester/Winona,1,M90052,Storie,Burl,,
1958,Illinois-Indiana-Iowa League,regular,Rochester/Winona,2,M90060,Spencer,Leverette,19580720,
1958,Illinois-Indiana-Iowa League,regular,Rochester/Winona,3,M90071,Kruasse,Lewis,19580722,
1958,Illinois-Indiana-Iowa League,regular,Fox Cities,0,M90083,Suder,Peter,,
1958,Mexican League,regular,Nuevo Laredo,0,M90018,Ramos,Jose (Cheo),,
1958,Mexican League,regular,Mexico City Reds,1,M90026,Gomez,P. Preston,,
1958,Mexican League,regular,Mexico City Reds,2,M90039,Molinero,Luis,19580801,
1958,Mexican League,regular,Yucatan,1,M90047,Rodriguez,Oscar,,
1958,Mexican League,regular,Yucatan,2,M90052,Alvarez,Guillermo (Willie),19580625,
1958,Mexican League,regular,Monterrey,1,M90060,Otero,Regino,,
1958,Mexican League,regular,Monterrey,2,M90071,Garza Gomez,Raymundo,19580713,
1958,Mexican League,regular,Mexico City Tigers,0,M90083,Genovese,George,,
1958,Mexican League,regular,Poza Rica,1,M90094,Valenzuela,Jesus,,
