league.year,league.name,entry.name,phase.name,division.name,S_FIRST,S_LAST,R_G,R_W,R_L,R_T,R_PCT,R_RANK,R_ATT,B_G,B_IP,B_AB,B_R,B_ER,B_H,B_TB,B_1B,B_2B,B_3B,B_HR,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_SB,B_CS,B_LOB,B_AVG,P_G,P_CG,P_SHO,P_GF,P_W,P_L,P_T,P_PCT,P_SV,P_IP,P_TBF,P_AB,P_R,P_ER,P_H,P_HR,P_BB,P_IBB,P_SO,P_HP,P_SH,P_SF,P_WP,P_BK,P_ERA,F_G,F_TC,F_PO,F_A,F_E,F_DP,F_TP,F_PB,F_SB,F_CS,F_XI,F_LOB,F_PCT
1975,Mexican League,Cordoba,finals,,,,,1,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,Mexican League,Aguascalientes,regular,,,,,,,,,,274643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,Mexican League,Chihuahua,regular,,,,,,,,,,229195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,Mexican League,Coahuila,regular,,,,,,,,,,186139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,Mexican League,Cordoba,regular,,,,,,,,,,311809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,Mexican League,Jalisco,regular,,,,,,,,,,165784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,Mexican League,Juarez,regular,,,,,,,,,,136912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,Mexican League,Mexico City Reds,regular,,,,,,,,,,380528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,Mexican League,Mexico City Tigers,regular,,,,,,,,,,179162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,Mexican League,Monterrey,regular,,,,,,,,,,242000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,Mexican League,Poza Rica,regular,,,,,,,,,,206772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,Mexican League,Puebla,regular,,,,,,,,,,188092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,Mexican League,Reynosa,regular,,,,,,,,,,72067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,Mexican League,Saltillo,regular,,,,,,,,,,193912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,Mexican League,Tampico,regular,,,,,,,,,,370506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,Mexican League,Union Laguna,regular,,,,,,,,,,259511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,Mexican League,Villahermosa,regular,,,,,,,,,,162251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,Mexican League,Mexico City Reds,regular,,,,,,,,,,,139,,4653,683,,1391,1790,,187,43,42,624,488,61,546,,31,68,55,103,72,1034,0.299,,,,,,,,,,,,,554,,,,,,,,,,,,,,,,,,,,,,,,,
1975,Mexican League,Jalisco,regular,,,,,,,,,,,136,,4540,642,,1317,1858,,183,38,94,604,467,47,711,,31,59,33,43,74,1020,0.29,,,,,,,,,,,,,597,,,,,,,,,,,,,,,,,,,,,,,,,
1975,Mexican League,Cordoba,regular,,,,,,,,,,,137,,4533,646,,1300,1755,,166,44,67,606,460,68,613,,53,88,58,61,63,1063,0.28700000000000003,,,,,,,,,,,,,448,,,,,,,,,,,,,,,,,,,,,,,,,
1975,Mexican League,Saltillo,regular,,,,,,,,,,,137,,4489,589,,1282,1772,,169,39,81,535,344,52,525,,42,89,35,35,41,960,0.28600000000000003,,,,,,,,,,,,,512,,,,,,,,,,,,,,,,,,,,,,,,,
1975,Mexican League,Juarez,regular,,,,,,,,,,,138,,4412,497,,1235,1515,,145,24,29,436,333,37,448,,32,76,29,103,77,944,0.28,,,,,,,,,,,,,560,,,,,,,,,,,,,,,,,,,,,,,,,
1975,Mexican League,Aguascalientes,regular,,,,,,,,,,,137,,4592,529,,1254,1626,,158,44,42,447,374,47,606,,31,91,38,59,72,1007,0.273,,,,,,,,,,,,,638,,,,,,,,,,,,,,,,,,,,,,,,,
1975,Mexican League,Puebla,regular,,,,,,,,,,,138,,4443,547,,1208,1583,,182,35,41,503,427,47,610,,33,89,37,58,52,997,0.272,,,,,,,,,,,,,503,,,,,,,,,,,,,,,,,,,,,,,,,
1975,Mexican League,Union Laguna,regular,,,,,,,,,,,139,,4547,618,,1233,1713,,198,48,62,556,482,57,691,,32,57,47,84,64,991,0.271,,,,,,,,,,,,,608,,,,,,,,,,,,,,,,,,,,,,,,,
1975,Mexican League,Mexico City Tigers,regular,,,,,,,,,,,136,,4216,518,,1131,1442,,146,39,29,469,426,44,715,,34,96,34,58,67,910,0.268,,,,,,,,,,,,,560,,,,,,,,,,,,,,,,,,,,,,,,,
1975,Mexican League,Chihuahua,regular,,,,,,,,,,,137,,4567,543,,1223,1592,,154,49,39,490,452,53,630,,36,67,37,29,42,1071,0.268,,,,,,,,,,,,,541,,,,,,,,,,,,,,,,,,,,,,,,,
1975,Mexican League,Tampico,regular,,,,,,,,,,,138,,4492,569,,1196,1619,,164,8,81,516,491,74,664,,42,84,28,39,29,1035,0.266,,,,,,,,,,,,,517,,,,,,,,,,,,,,,,,,,,,,,,,
1975,Mexican League,Coahuila,regular,,,,,,,,,,,135,,4352,441,,1157,1488,,141,26,46,399,379,46,660,,37,69,21,47,51,987,0.266,,,,,,,,,,,,,549,,,,,,,,,,,,,,,,,,,,,,,,,
1975,Mexican League,Reynosa,regular,,,,,,,,,,,133,,4166,447,,1101,1434,,143,44,34,382,415,55,607,,32,80,30,55,80,908,0.264,,,,,,,,,,,,,522,,,,,,,,,,,,,,,,,,,,,,,,,
1975,Mexican League,Monterrey,regular,,,,,,,,,,,138,,4447,491,,1158,1578,,152,38,64,449,380,39,774,,28,82,32,54,48,930,0.26,,,,,,,,,,,,,521,,,,,,,,,,,,,,,,,,,,,,,,,
1975,Mexican League,Villahermosa,regular,,,,,,,,,,,134,,4333,391,,1110,1362,,129,42,13,352,322,57,650,,27,67,23,97,82,866,0.256,,,,,,,,,,,,,498,,,,,,,,,,,,,,,,,,,,,,,,,
1975,Mexican League,Poza Rica,regular,,,,,,,,,,,138,,4543,484,,1138,1514,,144,56,40,432,429,67,557,,49,98,32,50,78,1018,0.25,,,,,,,,,,,,,507,,,,,,,,,,,,,,,,,,,,,,,,,
1975,Mexican League,Cordoba,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,22,,,,,,19,1181.0,,,448,349,1141,38,378,51,657,19,,,36,0,2.66,,,,,,,,,,,,,
1975,Mexican League,Poza Rica,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,24,,,,,,11,1217.0,,,507,365,1219,49,338,64,735,29,,,45,2,2.7,,,,,,,,,,,,,
1975,Mexican League,Villahermosa,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,13,,,,,,15,1166.0,,,498,354,1140,35,424,93,545,51,,,44,2,2.73,,,,,,,,,,,,,
1975,Mexican League,Puebla,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,18,,,,,,23,1171.0,,,503,391,1186,49,365,48,553,42,,,28,1,3.01,,,,,,,,,,,,,
1975,Mexican League,Chihuahua,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,15,,,,,,13,1181.0,,,541,407,1147,43,546,60,733,48,,,42,2,3.1,,,,,,,,,,,,,
1975,Mexican League,Mexico City Reds,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,12,,,,,,29,1202.0,,,554,422,1259,36,457,40,675,39,,,59,2,3.16,,,,,,,,,,,,,
1975,Mexican League,Saltillo,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,13,,,,,,16,1162.0,,,512,408,1175,52,392,40,609,35,,,38,3,3.16,,,,,,,,,,,,,
1975,Mexican League,Monterrey,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,15,,,,,,7,1176.0,,,521,413,1236,64,419,68,543,40,,,46,2,3.16,,,,,,,,,,,,,
1975,Mexican League,Reynosa,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,16,,,,,,13,1114.0,,,522,396,1131,49,404,48,639,31,,,30,1,3.2,,,,,,,,,,,,,
1975,Mexican League,Jalisco,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,13,,,,,,25,1161.0,,,597,413,1249,51,442,30,719,27,,,57,2,3.2,,,,,,,,,,,,,
1975,Mexican League,Tampico,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,13,,,,,,21,1182.0,,,517,422,1164,68,395,40,722,38,,,40,0,3.21,,,,,,,,,,,,,
1975,Mexican League,Juarez,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,15,,,,,,9,1137.0,,,560,414,1280,47,409,56,487,31,,,48,0,3.28,,,,,,,,,,,,,
1975,Mexican League,Coahuila,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,19,,,,,,6,1134.0,,,549,413,1168,49,365,52,684,31,,,37,4,3.28,,,,,,,,,,,,,
1975,Mexican League,Aguascalientes,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,10,,,,,,9,1183.0,,,638,448,1316,48,457,40,698,50,,,43,1,3.41,,,,,,,,,,,,,
1975,Mexican League,Union Laguna,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,7,,,,,,15,1185.0,,,608,468,1363,70,380,55,523,31,,,50,4,3.55,,,,,,,,,,,,,
1975,Mexican League,Mexico City Tigers,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,5,,,,,,21,1127.0,,,560,453,1260,56,498,66,485,28,,,44,2,3.62,,,,,,,,,,,,,
1975,Mexican League,Cordoba,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,,3543,1426,116,133,0,24,,,,,0.9771000000000001
1975,Mexican League,Mexico City Tigers,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,,3381,1504,116,143,0,30,,,,,0.9768
1975,Mexican League,Mexico City Reds,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,,3606,1563,143,153,0,27,,,,,0.973
1975,Mexican League,Juarez,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,,3411,1542,138,125,0,20,,,,,0.973
1975,Mexican League,Monterrey,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,,3528,1599,152,132,0,32,,,,,0.971
1975,Mexican League,Jalisco,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,,3483,1490,151,108,0,34,,,,,0.971
1975,Mexican League,Tampico,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,,3546,1483,153,126,0,18,,,,,0.97
1975,Mexican League,Reynosa,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,,3342,1415,146,112,0,17,,,,,0.97
1975,Mexican League,Puebla,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,,3513,1481,155,116,1,16,,,,,0.97
1975,Mexican League,Saltillo,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,,3486,1621,159,136,0,13,,,,,0.97
1975,Mexican League,Chihuahua,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,,3543,1430,168,120,0,19,,,,,0.967
1975,Mexican League,Villahermosa,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,,3498,1566,178,138,0,23,,,,,0.966
1975,Mexican League,Union Laguna,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,,3555,1512,179,162,0,7,,,,,0.966
1975,Mexican League,Poza Rica,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,,3651,1488,190,112,0,23,,,,,0.964
1975,Mexican League,Aguascalientes,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,,3549,1750,197,145,0,52,,,,,0.964
1975,Mexican League,Coahuila,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,,3402,1399,181,111,0,25,,,,,0.964
