league.year,league.name,phase.name,entry.name,seq,person.ref,person.name.last,person.name.given,S_FIRST,S_LAST
1966,Mexican League,regular,Mexico City Tigers,1,M90018,Garcia,Jose Luis,,
1966,Mexican League,regular,Mexico City Tigers,2,M90026,Garza,Ricardo,19660328,
1966,Mexican League,regular,Mexico City Reds,1,M90039,Herrera,Tomas,,
1966,Mexican League,regular,Mexico City Reds,2,M90047,Tanaka,Andres,19660523,
1966,Mexican League,regular,Mexico City Reds,3,M90052,Herrera,Tomas,19660611,
1966,Mexican League,regular,Monterrey,0,M90060,Calvino,Wilfredo,,
1966,Mexican League,regular,Puebla,0,M90071,Avila,Roberto,,
1966,Mexican League,regular,Veracruz,0,M90083,Garcia,Vinicio,,
1966,Mexican League,regular,Jalisco,0,M90094,Garibay,Guillermo (Memo),,
1966,Mexican League,regular,Poza Rica,0,M90107,Castano,Antonio,,
1966,Mexican League,regular,Reynosa,1,M90110,Palafox,Alberto,,
1966,Mexican League,regular,Reynosa,2,M90129,Schiave,John,19660329,
1966,Mexican League,regular,Reynosa,3,M90132,Ramirez,Carlos,19660530,
1966,Mexican League,regular,Reynosa,4,M90141,Bankhead,Daniel,19660602,
