league.year,league.name,entry.name,seq,person.ref,person.name.last,person.name.given,S_FIRST,S_LAST
1949,Central League,Grand Rapids,0,M90039,Knight,Jack,,
1949,Central League,Charleston,0,M90047,Beggs,Joseph,,
1949,Central League,Muskegon,0,M90052,Ruffing,Charles (Red),,
1949,Central League,Saginaw,0,M90060,Finley,Robert,,
1949,Coastal Plain League,Rocky Mount,1,M90018,Martin,Quentin,,
1949,Coastal Plain League,Rocky Mount,2,M90026,Benton,Horace,19490626,
1949,Coastal Plain League,Kinston,0,M90039,Collins,Steven,,
1949,Coastal Plain League,New Bern,0,M90047,Hamons,Lowell,,
1949,Coastal Plain League,Greenville,0,M90052,Williams,Fred,,
1949,Coastal Plain League,Goldsboro,1,M90060,Mizerak,Steve,,
1949,Coastal Plain League,Goldsboro,2,M90071,Wilson,Max,19490729,
1949,Coastal Plain League,Tarboro,0,M90083,Antolick,Joseph,,
1949,Coastal Plain League,Roanoke Rapids,1,M90094,Meers,Russell,,
1949,Coastal Plain League,Roanoke Rapids,2,M90107,Lockamy,Glen,19490613,
1949,Coastal Plain League,Wilson,0,M90110,Morrow,Ross,,
1949,Colonial League,Bristol,1,M90018,Barillari,Alfred,,
1949,Colonial League,Bristol,2,M90026,O'Connell,Joseph,19490915,
1949,Colonial League,Stamford,1,M90039,Glenn,Joseph,,
1949,Colonial League,Stamford,2,M90047,Stein,Herbert,19490613,19490801
1949,Colonial League,Stamford,3,M90052,Glenn,Joseph,19490802,
1949,Colonial League,Bridgeport,1,M90060,Byers,Ollie,,
1949,Colonial League,Bridgeport,2,M90071,Paules,James,19490707,
1949,Colonial League,Bridgeport,3,M90083,Foxx,James,19490803,
1949,Colonial League,Bridgeport,4,M90094,Downey,Thomas,19490821,
1949,Colonial League,Waterbury,1,M90107,Shepard,Bert,,
1949,Colonial League,Waterbury,2,M90110,Eastham,Leo,19490803,19490811
1949,Colonial League,Waterbury,3,M90129,Shepard,Bert,19490812,
1949,Colonial League,Poughkeepsie,1,M90132,Williams,Woodrow,,
1949,Colonial League,Poughkeepsie,2,M90141,Weingartner,Elmer,19490505,
1949,Colonial League,Poughkeepsie,3,M90155,Mauro,Gabriel,19490616,
1949,Colonial League,Kingston,1,M90164,Laviano,Julius,,
1949,Colonial League,Kingston,2,M90178,Gall,Emil,19490719,
1949,Cotton States League,Greenwood,0,M90018,Bivin,James,,
1949,Cotton States League,El Dorado,0,M90026,McClure,James,,
1949,Cotton States League,Natchez,0,M90039,Rullo,Joseph,,
1949,Cotton States League,Pine Bluff,0,M90047,Chozen,Harry,,
1949,Cotton States League,Greenville,0,M90052,Acton,James,,
1949,Cotton States League,Hot Springs,1,M90060,Fox,Ervin (Pete),,
1949,Cotton States League,Hot Springs,2,M90071,Stewart,Glen,19490601,
1949,Cotton States League,Clarksdale,1,M90083,Davis,Ernest,,
1949,Cotton States League,Clarksdale,2,M90094,Morgan,Chester,19490516,
1949,Cotton States League,Clarksdale,3,M90107,Dahlberg,Clint,19490709,
1949,Cotton States League,Clarksdale,4,M90110,Davis,Ernest,19490823,
1949,Cotton States League,Helena,1,M90129,Baker,Ray,,
1949,Cotton States League,Helena,2,M90132,McPherson,John,19490609,
1949,Cotton States League,Helena,3,M90141,Benish,Robert,19490619,
1949,Eastern League,Albany,0,M90018,May,Merrill (Pinky),,
1949,Eastern League,Scranton,1,M90026,Ryba,Dominic (Mike),,
1949,Eastern League,Scranton,2,M90039,Burns,Irving (Jack),19490529,
1949,Eastern League,Wilkes-Barre,0,M90047,Norman,William,,
1949,Eastern League,Binghamton,0,M90052,Selkirk,George,,
1949,Eastern League,Hartford,1,M90060,Browne,Earl,,
1949,Eastern League,Hartford,2,M90071,Collins,James (Rip),19490619,
1949,Eastern League,Williamsport,0,M90083,Desautels,Eugene,,
1949,Eastern League,Elmira,1,M90094,Heffner,Donald,,19490510
1949,Eastern League,Elmira,2,M90107,Tobin,John,19490510,19490523
1949,Eastern League,Elmira,3,M90110,Heffner,Donald,19490523,19490819
1949,Eastern League,Elmira,4,M90129,Madrid,Salvador,19490819,
1949,Eastern League,Utica,0,M90132,Colgan,Patrick,,
1949,Eastern Shore League,Easton,0,M90018,Farmer,Jack,,
1949,Eastern Shore League,Federalsburg,0,M90026,McQuillen,Carl,,
1949,Eastern Shore League,Salisbury,0,M90039,Corbett,Eugene,,
1949,Eastern Shore League,Rehoboth Beach,1,M90047,Sisler,William,,
1949,Eastern Shore League,Rehoboth Beach,2,M90052,Watson,John,19490707,
1949,Eastern Shore League,Seaford,0,M90060,Gaulin,Paul,,
1949,Eastern Shore League,Cambridge,0,M90071,Strachan,Merle,,
1949,East Texas League,Longview,0,M90018,Parsons,Edward (Dixie),,
1949,East Texas League,Gladewater,0,M90026,Van Pelt,Harold,,
1949,East Texas League,Paris,0,M90039,Walkup,James,,
1949,East Texas League,Kilgore,0,M90047,Kracher,Joseph,,
1949,East Texas League,Marshall,0,M90052,DeFreitas,Walter,,
1949,East Texas League,Tyler,1,M90060,McNabb,Carl,,
1949,East Texas League,Tyler,2,M90071,Hicks,Melvin,19490611,
1949,East Texas League,Henderson,1,M90083,Hicks,Melvin,,
1949,East Texas League,Henderson,2,M90094,Milstead,George,19490608,
1949,East Texas League,Bryan,1,M90107,Penso,Felix,,
1949,East Texas League,Bryan,2,M90110,Goletz,Stanley,19490521,
1949,Evangeline League,Houma,0,M90018,Washburn,George,,
1949,Evangeline League,Lafayette,0,M90026,Strohm,Harry,,
1949,Evangeline League,Hammond,0,M90039,Bruno,Paul,,
1949,Evangeline League,Alexandria,1,M90047,Coleman,Merle,,
1949,Evangeline League,Alexandria,2,M90052,Phelan,Arthur,19490710,
1949,Evangeline League,Abbeville,0,M90060,Love,Nat,,
1949,Evangeline League,Thibodaux,1,M90071,Theard,Wilfred,,
1949,Evangeline League,Thibodaux,2,M90083,Ploger,Weldon (Gus),19490709,
1949,Evangeline League,New Iberia,0,M90094,Gauthreaux,Sidney,,
1949,Evangeline League,Baton Rouge,1,M90107,DiBartolo,Anthony,,
1949,Evangeline League,Baton Rouge,2,M90110,Borom,Edward,19490701,
1949,Georgia-Alabama League,Newnan,0,M90018,Schmidt,Robert,,
1949,Georgia-Alabama League,Alexander City,0,M90026,Roberts,Charles,,
1949,Georgia-Alabama League,Tallassee,1,M90039,Comiskey,Robert,,
1949,Georgia-Alabama League,Tallassee,2,M90047,Blackwell,William,19490812,
1949,Georgia-Alabama League,La Grange,0,M90052,Cooper,Carl,,
1949,Georgia-Alabama League,Valley,1,M90060,Danna,Jesse,,
1949,Georgia-Alabama League,Valley,2,M90071,Morgan,Malvern,19490514,
1949,Georgia-Alabama League,Valley,3,M90083,Bottoms,Woodrow,19490810,
1949,Georgia-Alabama League,Opelika,0,M90094,Ball,James,,
1949,Georgia-Alabama League,Carrollton,1,M90107,Seal,William,,
1949,Georgia-Alabama League,Carrollton,2,M90110,Rucker,William,19490801,
1949,Georgia-Alabama League,Griffin,1,M90129,Etchison,Clarence (Buck),,
1949,Georgia-Alabama League,Griffin,2,M90132,York,Rudolph,19490617,
1949,Georgia-Alabama League,Griffin,3,M90141,Sanders,Lewis,19490729,
1949,Georgia-Alabama League,Griffin,4,M90155,Gibson,Samuel,19490802,
1949,Georgia-Florida League,Albany,0,M90018,Bender,Sheldon,,
1949,Georgia-Florida League,Valdosta,0,M90026,Alexson,Andrew,,
1949,Georgia-Florida League,Waycross,0,M90039,Katkaveck,Stanley (Mickey),,
1949,Georgia-Florida League,Americus,0,M90047,Murphy,Edward,,
1949,Georgia-Florida League,Thomasville,0,M90052,DiLullo,Ralph,,
1949,Georgia-Florida League,Moultrie,0,M90060,Peterman,William,,
1949,Georgia-Florida League,Cordele,0,M90071,Lee,Harold,,
1949,Georgia-Florida League,Tallahassee,1,M90083,Veazey,Norman,,
1949,Georgia-Florida League,Tallahassee,2,M90094,Shawkey,Robert,19490527,
1949,Georgia-Florida League,Tallahassee,3,M90107,Heving,John,19490613,
1949,Georgia-Florida League,Tallahassee,4,M90110,Cabaniss,Eugene,19490802,
1949,Georgia State League,Eastman,0,M90018,Hartness,Edgar,,
1949,Georgia State League,Douglas,0,M90026,Coble,David,,
1949,Georgia State League,Tifton,0,M90039,Farrar,Charles,,
1949,Georgia State League,Vidalia-Lyons,1,M90047,Rossi,Michael,,
1949,Georgia State League,Vidalia-Lyons,2,M90052,Morgan,Julian,19490423,
1949,Georgia State League,Vidalia-Lyons,3,M90060,Santomauro,Joseph,19490523,
1949,Georgia State League,Sparta,1,M90071,Bottoms,Woodrow,,
1949,Georgia State League,Sparta,2,M90083,Ruark,J. B.,19490609,
1949,Georgia State League,Dublin,1,M90094,Phebus,R. W. (Bill),,
1949,Georgia State League,Dublin,2,M90107,Davis,Wendell (Bill),19490520,
1949,Georgia State League,Dublin,3,M90110,Chambers,Joseph,19490627,
1949,Georgia State League,Baxley-Hazelhurst,1,M90129,Milosevich,Michael,,
1949,Georgia State League,Baxley-Hazelhurst,2,M90132,Baker,Ray,19490709,
1949,Georgia State League,Fitzgerald,1,M90141,Good,Wilbur (Bill),,
1949,Georgia State League,Fitzgerald,2,M90155,DiCola,Charles,19490716,
1949,Georgia State League,Fitzgerald,3,M90164,Pawlick,John,19490729,
1949,Interstate League,Allentown,0,M90018,Hollingsworth,Albert,,
1949,Interstate League,Wilmington,0,M90026,Sanford,Jack,,
1949,Interstate League,Harrisburg,0,M90039,Bell,Lester,,
1949,Interstate League,Trenton,0,M90047,Poland,Hugh,,
1949,Interstate League,Lancaster,0,M90052,Campanis,Alex,,
1949,Interstate League,York,0,M90060,Oceak,Frank,,
1949,Interstate League,Sunbury,0,M90071,Buzas,Joseph,,
1949,Interstate League,Hagerstown,0,M90083,Wheaton,Woodrow,,
1949,Kansas-Oklahoma-Missouri League,Independence,0,M90018,Craft,Harry,,
1949,Kansas-Oklahoma-Missouri League,Bartlesville,0,M90026,Gullic,Tedd,,
1949,Kansas-Oklahoma-Missouri League,Iola,0,M90039,Johnson,Winslow,,
1949,Kansas-Oklahoma-Missouri League,Ponca City,0,M90047,Bartley,Boyd,,
1949,Kansas-Oklahoma-Missouri League,Chanute,1,M90052,Hansen,James,,
1949,Kansas-Oklahoma-Missouri League,Chanute,2,M90060,Bates,Charles,19490630,
1949,Kansas-Oklahoma-Missouri League,Carthage,0,M90071,Anderson,Donald,,
1949,Kansas-Oklahoma-Missouri League,Miami,0,M90083,Lane,Omar,,
1949,Kansas-Oklahoma-Missouri League,Pittsburg,1,M90094,Barkus,Albert,,
1949,Kansas-Oklahoma-Missouri League,Pittsburg,2,M90107,Smith,Olan,19490721,
1949,Ohio-Indiana League,Portsmouth,0,M90018,Cox,Homer,,
1949,Ohio-Indiana League,Springfield,0,M90026,Ravish,Anthony,,
1949,Ohio-Indiana League,Muncie,0,M90039,Blazo,Michael,,
1949,Ohio-Indiana League,Marion,0,M90047,Millies,Walter,,
1949,Ohio-Indiana League,Zanesville,0,M90052,McLaughlin,Patrick,,
1949,Ohio-Indiana League,Newark,0,M90060,McLeod,James,,
1949,Ohio-Indiana League,Richmond,1,M90071,Pfeifer,Cyril,,
1949,Ohio-Indiana League,Richmond,2,M90083,Holtcamp,Kenneth,19490813,
1949,Ohio-Indiana League,Lima,1,M90094,Hartley,Grover,,
1949,Ohio-Indiana League,Lima,2,M90107,Kinnamon,George,19490821,
