league.year,league.name,phase.name,entry.name,seq,person.ref,person.name.last,person.name.given,S_FIRST,S_LAST
1969,Mexican League,regular,Jalisco,0,M90018,Garibay,Memo,,
1969,Mexican League,regular,Mexico City Reds,0,M90026,Herrera,Tomas,,
1969,Mexican League,regular,Mexico City Tigers,0,M90039,Garcia,Jose,,
1969,Mexican League,regular,Monterrey,1,M90047,Corella,Jaime,,
1969,Mexican League,regular,Monterrey,2,M90052,Narvaez,Arturo,,
1969,Mexican League,regular,Monterrey,3,M90060,Alvarado,Rodolfo,,
1969,Mexican League,regular,Monterrey,4,M90071,Magallon,Manuel,,
1969,Mexican League,regular,Poza Rica,0,M90083,Garza,Ricardo,,
1969,Mexican League,regular,Puebla,0,M90094,Castano,Tony,,
1969,Mexican League,regular,Reynosa,0,M90107,Sotelo,Miguel,,
1969,Mexican League,regular,Veracruz,0,M90110,Garcia,Vinicio,,
