league.year,league.name,entry.name,phase.name,division.name,S_FIRST,S_LAST,R_G,R_W,R_L,R_T,R_PCT,R_RANK,R_ATT,B_G,B_IP,B_AB,B_R,B_ER,B_H,B_TB,B_1B,B_2B,B_3B,B_HR,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_SB,B_CS,B_LOB,B_AVG,P_G,P_CG,P_SHO,P_GF,P_W,P_L,P_T,P_PCT,P_SV,P_IP,P_TBF,P_AB,P_R,P_ER,P_H,P_HR,P_BB,P_IBB,P_SO,P_HP,P_SH,P_SF,P_WP,P_BK,P_ERA,F_G,F_TC,F_PO,F_A,F_E,F_DP,F_TP,F_PB,F_SB,F_CS,F_XI,F_LOB,F_PCT
1974,Mexican League,Mexico City Reds,regular,South East,,,,75,61,2,0.551,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,Mexican League,Cordoba,regular,South East,,,,66,67,0,0.496,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,Mexican League,Veracruz,regular,South East,,,,62,74,1,0.456,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,Mexican League,Yucatan,regular,South East,,,,60,75,0,0.444,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,Mexican League,Jalisco,regular,South West,,,,84,50,0,0.627,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,Mexican League,Puebla,regular,South West,,,,81,56,0,0.591,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,Mexican League,Poza Rica,regular,South West,,,,71,65,1,0.522,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,Mexican League,Mexico City Tigers,regular,South West,,,,56,78,0,0.418,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,Mexican League,Saltillo,regular,North West,,,,83,53,2,0.61,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,Mexican League,Gomez Palacio,regular,North West,,,,79,57,2,0.581,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,Mexican League,Chihuahua,regular,North West,,,,64,71,0,0.47400000000000003,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,Mexican League,Juarez,regular,North West,,,,60,78,1,0.435,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,Mexican League,Tampico,regular,North East,,,,66,71,1,0.482,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,Mexican League,Monterrey,regular,North East,,,,65,72,0,0.47400000000000003,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,Mexican League,Coahuilla,regular,North East,,,,59,77,2,0.434,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,Mexican League,Reynosa,regular,North East,,,,53,79,0,0.402,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,Mexican League,Mexico City Reds,quarterfinal,Quarterfinal 1,,,,4,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,Mexican League,Puebla,quarterfinal,Quarterfinal 1,,,,2,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,Mexican League,Jalisco,quarterfinal,Quarterfinal 2,,,,4,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,Mexican League,Cordoba,quarterfinal,Quarterfinal 2,,,,0,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,Mexican League,Gomez Palacio,quarterfinal,Quarterfinal 3,,,,4,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,Mexican League,Tampico,quarterfinal,Quarterfinal 3,,,,1,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,Mexican League,Saltillo,quarterfinal,Quarterfinal 4,,,,4,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,Mexican League,Monterrey,quarterfinal,Quarterfinal 4,,,,1,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,Mexican League,Mexico City Reds,semifinal,Semifinal 1,,,,4,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,Mexican League,Jalisco,semifinal,Semifinal 1,,,,2,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,Mexican League,Gomez Palacio,semifinal,Semifinal 2,,,,4,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,Mexican League,Saltillo,semifinal,Semifinal 2,,,,3,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,Mexican League,Mexico City Reds,final,,,,,4,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,Mexican League,Gomez Palacio,final,,,,,0,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,Mexican League,Veracruz,regular,,,,,,,,,,96910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,Mexican League,Chihuahua,regular,,,,,,,,,,200573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,Mexican League,Coahuilla,regular,,,,,,,,,,202072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,Mexican League,Cordoba,regular,,,,,,,,,,286694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,Mexican League,Gomez Palacio,regular,,,,,,,,,,205570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,Mexican League,Jalisco,regular,,,,,,,,,,152341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,Mexican League,Juarez,regular,,,,,,,,,,165447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,Mexican League,Mexico City Reds,regular,,,,,,,,,,398122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,Mexican League,Mexico City Tigers,regular,,,,,,,,,,253189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,Mexican League,Monterrey,regular,,,,,,,,,,195833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,Mexican League,Poza Rica,regular,,,,,,,,,,119570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,Mexican League,Puebla,regular,,,,,,,,,,143517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,Mexican League,Reynosa,regular,,,,,,,,,,61190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,Mexican League,Saltillo,regular,,,,,,,,,,193903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,Mexican League,Tampico,regular,,,,,,,,,,185858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,Mexican League,Yucatan,regular,,,,,,,,,,169848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,Mexican League,Puebla,regular,,,,,,,,,,,137,,4467,630,,1302,1717,,168,32,61,566,464,87,562,,31,41,31,91,61,990,0.2914,,,,,,,,,,,,,523,,,,,,,,,,,,,,,,,,,,,,,,,
1974,Mexican League,Mexico City Reds,regular,,,,,,,,,,,138,,4482,621,,1303,1725,,174,58,44,568,396,51,575,,51,53,39,123,74,938,0.2907,,,,,,,,,,,,,549,,,,,,,,,,,,,,,,,,,,,,,,,
1974,Mexican League,Jalisco,regular,,,,,,,,,,,134,,4417,637,,1273,1748,,173,49,68,578,453,76,591,,53,51,46,53,62,1004,0.28800000000000003,,,,,,,,,,,,,482,,,,,,,,,,,,,,,,,,,,,,,,,
1974,Mexican League,Saltillo,regular,,,,,,,,,,,138,,4434,568,,1215,1681,,164,43,72,523,345,76,499,,36,40,39,84,63,888,0.274,,,,,,,,,,,,,468,,,,,,,,,,,,,,,,,,,,,,,,,
1974,Mexican League,Juarez,regular,,,,,,,,,,,139,,4360,500,,174,1475,,140,25,37,451,370,65,451,,27,37,53,57,59,900,0.269,,,,,,,,,,,,,566,,,,,,,,,,,,,,,,,,,,,,,,,
