league.year,league.name,phase.name,entry.name,seq,person.ref,person.name.last,person.name.given,S_FIRST,S_LAST
1974,Mexican League,regular,Veracruz,0,M90018,Izquierdo,Enrique,,
1974,Mexican League,regular,Chihuahua,0,M90026,Gonzalez,Pedro,,
1974,Mexican League,regular,Coahuilla,0,M90039,Herrera,Tomas,,
1974,Mexican League,regular,Cordoba,1,M90047,Pelaez,Mario,,
1974,Mexican League,regular,Cordoba,2,M90052,Joachim,Alberto,,
1974,Mexican League,regular,Gomez Palacio,0,M90060,Guerrero,Jose,,
1974,Mexican League,regular,Jalisco,0,M90071,Garcia,Vinicio,,
1974,Mexican League,regular,Juarez,0,M90083,Mendoza,Rigoberto,,
1974,Mexican League,regular,Mexico City Reds,0,M90094,Reyes,Benjamin,,
1974,Mexican League,regular,Mexico City Tigers,1,M90107,Garcia,Jose Luis,,
1974,Mexican League,regular,Mexico City Tigers,2,M90110,Camacho,Ronaldo,,
1974,Mexican League,regular,Monterrey,0,M90129,Sotelo,Miguel,,
1974,Mexican League,regular,Poza Rica,0,M90132,Camacho,Moises,,
1974,Mexican League,regular,Puebla,0,M90141,Castano,Antonio,,
1974,Mexican League,regular,Reynosa,0,M90155,Fitch,Jorge,,
1974,Mexican League,regular,Saltillo,0,M90164,Tanaka,Andres,,
1974,Mexican League,regular,Tampico,0,M90178,Herrera,J. Francisco,,
1974,Mexican League,regular,Yucatan,1,M90186,Javier,M. Julian,,
1974,Mexican League,regular,Yucatan,2,M90193,Pelaez,Mario,,
