league.year,league.name,phase.name,entry.name,seq,person.ref,person.name.last,person.name.given,S_FIRST,S_LAST
1973,Mexican League,regular,Veracruz,1,M90018,Ariosa,Mario,,
1973,Mexican League,regular,Veracruz,2,M90026,Camacho,Ronaldo,,
1973,Mexican League,regular,Chihuahua,1,M90039,Ruiz,Mauro,,
1973,Mexican League,regular,Chihuahua,2,M90047,Contreras,Mauro,,
1973,Mexican League,regular,Cordoba,0,M90052,Pelaez,Mario,,
1973,Mexican League,regular,Gomez Palacio,0,M90060,Guerrero,Jose,,
1973,Mexican League,regular,Jalisco,0,M90071,Garcia,Vinicio,,
1973,Mexican League,regular,Juarez,0,M90083,Reyes,Benjamin,,
1973,Mexican League,regular,Mexico City Reds,0,M90094,Calvino,Wilfredo,,
1973,Mexican League,regular,Mexico City Tigers,0,M90107,Garcia,Jose Luis,,
1973,Mexican League,regular,Monterrey,0,M90110,Sotelo,Miguel,,
1973,Mexican League,regular,Poza Rica,0,M90129,Camacho,Moises,,
1973,Mexican League,regular,Puebla,1,M90132,Herrera,Tomas,,
1973,Mexican League,regular,Puebla,2,M90141,Calvo,Jorge,,
1973,Mexican League,regular,Puebla,3,M90155,Cano,Raul,,
1973,Mexican League,regular,Reynosa,0,M90164,Fitch,Jorge,,
1973,Mexican League,regular,Sabinas,0,M90178,Valenzuela,Benjamin,,
1973,Mexican League,regular,Saltillo,0,M90186,Tanaka,Andres,,
1973,Mexican League,regular,Tampico,0,M90193,Gonzalez,Pedro,,
1973,Mexican League,regular,Yucatan,0,M90204,Izquierdo,Enrique,,
