league.year,league.name,entry.name,phase.name,division.name,R_G,R_W,R_L,R_T,R_PCT,R_RANK,R_ATT,B_G,B_IP,B_AB,B_R,B_ER,B_H,B_TB,B_1B,B_2B,B_3B,B_HR,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_SB,B_CS,B_AVG,P_G,P_W,P_L,P_T,P_PCT,P_R,F_G,F_TC,F_PO,F_A,F_E,F_DP,F_TP,F_PB,F_XI,F_LOB,F_PCT
1945,Ohio State League,Middletown,regular,,,89,50,,0.64,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945,Ohio State League,Zanesville,regular,,,74,66,,0.529,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945,Ohio State League,Lima,regular,,,72,68,,0.514,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945,Ohio State League,Springfield,regular,,,64,75,,0.46,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945,Ohio State League,Marion,regular,,,62,77,,0.446,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945,Ohio State League,Newark,regular,,,57,82,,0.41,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945,Ohio State League,Middletown,semifinal,Semifinal 1,,4,2,,0.667,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945,Ohio State League,Springfield,semifinal,Semifinal 1,,2,4,,0.333,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945,Ohio State League,Zanesvile,semifinal,Semifinal 2,,4,2,,0.667,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945,Ohio State League,Lima,semifinal,Semifinal 2,,2,4,,0.333,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945,Ohio State League,Zanesville,final,,,3,2,,0.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945,Ohio State League,Middletown,final,,,2,3,,0.4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945,Ohio State League,Middletown,regular,,,,,,,,,139,,4542,852,,1275,1782,,198,90,43,709,566,,682,,49,86,,157,,0.281,,,,,,632,,,,,,,,,,,
1945,Ohio State League,Lima,regular,,,,,,,,,140,,4691,867,,1315,1714,,195,63,26,746,505,,602,,43,87,,170,,0.28,,,,,,793,,,,,,,,,,,
1945,Ohio State League,Zanesville,regular,,,,,,,,,140,,4430,742,,1151,1462,,149,66,10,603,657,,794,,46,107,,179,,0.26,,,,,,666,,,,,,,,,,,
1945,Ohio State League,Newark,regular,,,,,,,,,139,,4540,777,,1171,1649,,167,91,43,645,636,,846,,39,70,,127,,0.258,,,,,,913,,,,,,,,,,,
1945,Ohio State League,Marion,regular,,,,,,,,,139,,4285,679,,1041,1430,,161,72,28,531,575,,773,,46,57,,136,,0.243,,,,,,825,,,,,,,,,,,
1945,Ohio State League,Springfield,regular,,,,,,,,,139,,4448,692,,1071,1368,,188,32,15,552,618,,829,,53,85,,103,,0.241,,,,,,780,,,,,,,,,,,
1945,Ohio State League,Zanesville,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,3362,1503,327,110,0,31,,,0.937
1945,Ohio State League,Lima,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,3445,1460,336,100,0,22,,,0.936
1945,Ohio State League,Springfield,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,,3398,1427,367,69,1,54,,,0.929
1945,Ohio State League,Middletown,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,,3375,1371,369,83,0,22,,,0.928
1945,Ohio State League,Marion,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,,3276,1451,376,97,0,43,,,0.926
1945,Ohio State League,Newark,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,,3399,1600,449,101,0,40,,,0.918
