league.year,league.name,entry.name,phase.name,division.name,R_G,R_W,R_L,R_T,R_PCT,R_RANK,R_ATT,B_G,B_IP,B_AB,B_R,B_ER,B_H,B_TB,B_1B,B_2B,B_3B,B_HR,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_SB,B_CS,B_AVG,P_G,P_W,P_L,P_T,P_PCT,P_R,F_G,F_TC,F_PO,F_A,F_E,F_DP,F_TP,F_PB,F_XI,F_LOB,F_PCT
1947,Big State League,Texarkana,regular,,,101,53,,0.656,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,Big State League,Greenville,regular,,,100,54,,0.649,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,Big State League,Wichita Falls,regular,,,92,61,,0.601,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,Big State League,Paris,regular,,,80,74,,0.519,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,Big State League,Sherman-Denison,regular,,,69,85,,0.448,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,Big State League,Gainesville,regular,,,65,87,,0.428,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,Big State League,Austin,regular,,,55,99,,0.357,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,Big State League,Waco,regular,,,52,101,,0.34,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,Big State League,Texarkana,semifinal,Semifinal 1,,4,0,,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,Big State League,Paris,semifinal,Semifinal 1,,0,4,,0.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,Big State League,Wichita Falls,semifinal,Semifinal 2,,4,2,,0.667,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,Big State League,Greenville,semifinal,Semifinal 2,,2,4,,0.333,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,Big State League,Texarkana,final,,,4,2,,0.667,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,Big State League,Wichita Falls,final,,,2,4,,0.333,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,Big State League,Greenville,regular,,,,,,,,154346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,Big State League,Texarkana,regular,,,,,,,,140333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,Big State League,Paris,regular,,,,,,,,112449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,Big State League,Austin,regular,,,,,,,,106099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,Big State League,Wichita Falls,regular,,,,,,,,92553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,Big State League,Sherman,regular,,,,,,,,81550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,Big State League,Gainesville,regular,,,,,,,,60971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,Big State League,Waco,regular,,,,,,,,52577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,Big State League,Texarkana,regular,,,,,,,,,154,1394,5485,1111,,1740,2817,,319,28,234,1007,522,,611,,48,85,,74,,0.317,,,,,,,,,,,,,,,,,
1947,Big State League,Sherman-Denison,regular,,,,,,,,,156,1383,5814,1185,,1826,3066,,408,29,258,1095,514,,529,,33,68,,36,,0.314,,,,,,,,,,,,,,,,,
1947,Big State League,Greenville,regular,,,,,,,,,154,1373,5402,996,,1693,2462,,292,48,127,933,580,,480,,38,66,,146,,0.313,,,,,,,,,,,,,,,,,
1947,Big State League,Paris,regular,,,,,,,,,156,1326,5576,1123,,1729,2699,,326,58,176,995,587,,591,,35,112,,150,,0.31,,,,,,,,,,,,,,,,,
1947,Big State League,Wichita Falls,regular,,,,,,,,,155,1358,5537,1109,,1659,2658,,280,40,213,955,562,,727,,41,99,,131,,0.3,,,,,,,,,,,,,,,,,
