league.year,league.name,entry.name,phase.name,division.name,S_FIRST,S_LAST,R_G,R_W,R_L,R_T,R_PCT,R_RANK,R_ATT,B_G,B_IP,B_AB,B_R,B_ER,B_H,B_TB,B_1B,B_2B,B_3B,B_HR,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_SB,B_CS,B_AVG,P_G,P_CG,P_SHO,P_GF,P_W,P_L,P_T,P_PCT,P_IP,P_AB,P_R,P_ER,P_H,P_HR,P_BB,P_IBB,P_SO,P_HP,P_SH,P_SF,P_WP,P_BK,P_ERA,F_G,F_TC,F_PO,F_A,F_E,F_DP,F_TP,F_PB,F_XI,F_LOB,F_PCT
1967,Mexican League,Jalisco,regular,,,,,85,55,0,0.607,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,Mexican League,Reynosa,regular,,,,,80,60,1,0.5710000000000001,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,Mexican League,Mexico City Reds,regular,,,,,76,63,3,0.547,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,Mexican League,Veracruz,regular,,,,,71,69,1,0.507,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,Mexican League,Poza Rica,regular,,,,,65,75,3,0.464,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,Mexican League,Mexico City Tigers,regular,,,,,64,75,1,0.46,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,Mexican League,Monterrey,regular,,,,,60,80,2,0.429,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,Mexican League,Puebla,regular,,,,,57,81,3,0.41300000000000003,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,Mexican League,Mexico City Reds,regular,,,,,,,,,,536743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,Mexican League,Jalisco,regular,,,,,,,,,,373219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,Mexican League,Monterrey,regular,,,,,,,,,,262281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,Mexican League,Mexico City Tigers,regular,,,,,,,,,,260289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,Mexican League,Poza Rica,regular,,,,,,,,,,247227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,Mexican League,Reynosa,regular,,,,,,,,,,203904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,Mexican League,Veracruz,regular,,,,,,,,,,143373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,Mexican League,Puebla,regular,,,,,,,,,,132210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,Mexican League,Mexico City Reds,regular,,,,,,,,,,,142,,4796,619,,1364,1771,,185,54,38,559,366,,523,,40,72,,117,,0.28400000000000003,,,,,,,,,,,551,,,,,,,,,,,,,,,,,,,,,,,
1967,Mexican League,Reynosa,regular,,,,,,,,,,,141,,4741,634,,1328,1793,,191,50,58,579,469,,642,,23,64,,70,,0.28,,,,,,,,,,,561,,,,,,,,,,,,,,,,,,,,,,,
1967,Mexican League,Poza Rica,regular,,,,,,,,,,,143,,4889,682,,1363,1930,,215,38,92,640,566,,666,,37,50,,42,,0.279,,,,,,,,,,,659,,,,,,,,,,,,,,,,,,,,,,,
1967,Mexican League,Mexico City Tigers,regular,,,,,,,,,,,140,,4672,542,,1298,1672,,171,58,29,495,328,,552,,28,64,,36,,0.278,,,,,,,,,,,658,,,,,,,,,,,,,,,,,,,,,,,
1967,Mexican League,Jalisco,regular,,,,,,,,,,,140,,4719,717,,1298,1886,,172,52,104,648,511,,783,,60,65,,77,,0.275,,,,,,,,,,,572,,,,,,,,,,,,,,,,,,,,,,,
1967,Mexican League,Monterrey,regular,,,,,,,,,,,142,,4785,610,,1294,1903,,177,27,126,567,437,,786,,44,48,,24,,0.27,,,,,,,,,,,701,,,,,,,,,,,,,,,,,,,,,,,
1967,Mexican League,Puebla,regular,,,,,,,,,,,141,,4627,595,,1245,1742,,171,61,68,536,523,,650,,21,69,,35,,0.269,,,,,,,,,,,720,,,,,,,,,,,,,,,,,,,,,,,
1967,Mexican League,Veracruz,regular,,,,,,,,,,,141,,4776,539,,1261,1634,,176,37,41,468,431,,665,,28,49,,92,,0.264,,,,,,,,,,,516,,,,,,,,,,,,,,,,,,,,,,,
1967,Mexican League,Mexico City Tigers,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,3579,1566,123,146,0,30,,,0.977
1967,Mexican League,Puebla,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,,3590,1689,149,145,0,29,,,0.973
1967,Mexican League,Poza Rica,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,,3742,1607,162,137,0,14,,,0.971
1967,Mexican League,Jalisco,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,3671,1589,164,162,0,21,,,0.97
1967,Mexican League,Mexico City Reds,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,,3741,1541,175,136,1,38,,,0.968
1967,Mexican League,Veracruz,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,,3742,1719,186,127,0,12,,,0.967
1967,Mexican League,Reynosa,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,,3694,1451,192,145,0,17,,,0.964
1967,Mexican League,Monterrey,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,,3640,1631,203,119,0,16,,,0.963
