league.year,league.name,phase.name,entry.name,seq,person.ref,person.name.last,person.name.given,S_FIRST,S_LAST
1920,Pacific Coast International League,regular,Victoria,,M90018,Leard,,,
1920,Piedmont League,regular,Greensboro,,M90018,Carroll,Charles,,
1920,South Dakota League,regular,Mitchell,,M90018,Dougherty,R. R.,,
