league.year,league.name,entry.name,phase.name,division.name,S_FIRST,S_LAST,R_G,R_W,R_L,R_T,R_PCT,R_RANK,R_ATT,B_G,B_IP,B_AB,B_R,B_ER,B_H,B_TB,B_1B,B_2B,B_3B,B_HR,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_SB,B_CS,B_AVG,P_G,P_CG,P_SHO,P_GF,P_W,P_L,P_T,P_PCT,P_IP,P_AB,P_R,P_ER,P_H,P_HR,P_BB,P_IBB,P_SO,P_HP,P_SH,P_SF,P_WP,P_BK,P_ERA,F_G,F_TC,F_PO,F_A,F_E,F_DP,F_TP,F_PB,F_XI,F_LOB,F_PCT
1907,Eastern League,Buffalo,regular,,,,,73,59,3,0.553030303030303,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907,Eastern League,Providence,regular,,,,,71,64,1,0.5259259259259259,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907,Eastern League,Newark,regular,,,,,67,66,1,0.5037593984962406,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907,Eastern League,Jersey City,regular,,,,,67,66,4,0.5037593984962406,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907,Eastern League,Baltimore,regular,,,,,68,69,4,0.49635036496350365,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907,Eastern League,Rochester,regular,,,,,59,76,2,0.43703703703703706,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907,Eastern League,Montreal,regular,,,,,48,85,1,0.3609022556390977,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907,Eastern League,Providence,regular,,,,,,,,,,,136,,4393,525,,1145,,,123,59,17,,,,,,,165,,204,,0.2606419303437287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907,Eastern League,Toronto,regular,,,,,,,,,,,137,,4417,554,,1149,,,137,88,21,,,,,,,135,,216,,0.26013131084446456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907,Eastern League,Buffalo,regular,,,,,,,,,,,134,,4406,536,,1100,,,149,38,20,,,,,,,199,,191,,0.24965955515206537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907,Eastern League,Jersey City,regular,,,,,,,,,,,137,,4373,473,,1043,,,99,57,11,,,,,,,180,,214,,0.23850903270066315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907,Eastern League,Baltimore,regular,,,,,,,,,,,141,,4413,499,,1056,,,118,49,7,,,,,,,168,,300,,0.23929299796057105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907,Eastern League,Rochester,regular,,,,,,,,,,,137,,4384,475,,1040,,,118,57,10,,,,,,,164,,153,,0.23722627737226276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907,Eastern League,Newark,regular,,,,,,,,,,,134,,4228,437,,944,,,132,34,17,,,,,,,157,,194,,0.22327341532639547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907,Eastern League,Montreal,regular,,,,,,,,,,,132,,4150,385,,902,,,120,33,16,,,,,,,182,,151,,0.21734939759036145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907,Eastern League,Buffalo,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,,3562,1724,220,,,,,,0.9600435888122049
1907,Eastern League,Newark,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,,3522,1869,281,,,,,,0.9504583921015515
1907,Eastern League,Jersey City,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,,3607,1843,294,,,,,,0.9488161559888579
1907,Eastern League,Toronto,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,,3558,1770,284,,,,,,0.9493941553813258
