league.year,league.name,phase.name,entry.name,seq,person.ref,person.name.last,person.name.given,S_FIRST,S_LAST
1972,Mexican League,regular,Veracruz,1,M90018,Osorio,Alberto,,
1972,Mexican League,regular,Veracruz,2,M90026,Valenzuela,Benjamin,,
1972,Mexican League,regular,Veracruz,3,M90039,Ariosa,Mario,,
1972,Mexican League,regular,Cordoba,0,M90047,Pelaez,Mario,,
1972,Mexican League,regular,Gomez Palacio,1,M90052,Minoso,Minnie,,
1972,Mexican League,regular,Gomez Palacio,2,M90060,Guerrero,Jose,,
1972,Mexican League,regular,Jalisco,1,M90071,Reyes,Benjamin,,
1972,Mexican League,regular,Jalisco,2,M90083,Alvarez,Ossie,,
1972,Mexican League,regular,Mexico City Reds,1,M90094,Garcia,Ernesto,,
1972,Mexican League,regular,Mexico City Reds,2,M90107,Juarez,Lolo,,
1972,Mexican League,regular,Mexico City Reds,3,M90110,Calvino,Rodolfo,,
1972,Mexican League,regular,Mexico City Tigers,1,M90129,Garcia,Jose Luis,,
1972,Mexican League,regular,Mexico City Tigers,2,M90132,Garcia,David,,
1972,Mexican League,regular,Monterrey,1,M90141,Magallon,Manuel,,
1972,Mexican League,regular,Monterrey,2,M90155,Alvarez,Rodolfo,,
1972,Mexican League,regular,Poza Rica,0,M90164,Camacho,Moises,,
1972,Mexican League,regular,Puebla,1,M90178,Sotelo,Miguel,,
1972,Mexican League,regular,Puebla,2,M90186,Ramos,Pedro,,
1972,Mexican League,regular,Reynosa,1,M90193,Camacho,Ronaldo,,
1972,Mexican League,regular,Reynosa,2,M90204,de Alejandro,Marte,,
1972,Mexican League,regular,Reynosa,3,M90212,Fitch,Jorge,,
1972,Mexican League,regular,Sabinas,0,M90220,Garcia,Vinicio,,
1972,Mexican League,regular,Saltillo,1,M90236,Herrera,Tomas,,
1972,Mexican League,regular,Saltillo,2,M90248,Tanaka,Andres,,
1972,Mexican League,regular,Tampico,0,M90257,Gonzalez,Pedro,,
1972,Mexican League,regular,Yucatan,0,M90261,Izquierdo,Enrique,,
