league.year,league.name,entry.name,phase.name,division.name,R_G,R_W,R_L,R_T,R_PCT,R_RANK,R_ATT,B_G,B_IP,B_AB,B_R,B_ER,B_H,B_TB,B_1B,B_2B,B_3B,B_HR,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_SB,B_CS,B_AVG,P_G,P_CG,P_SHO,P_GF,P_W,P_L,P_T,P_PCT,P_IP,P_AB,P_R,P_ER,P_H,P_HR,P_BB,P_IBB,P_SO,P_HP,P_SH,P_SF,P_WP,P_BK,P_ERA,F_G,F_TC,F_PO,F_A,F_E,F_DP,F_TP,F_PB,F_XI,F_LOB,F_PCT
1921,Michigan-Ontario League,London,regular/first,,,41,21,,0.661,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,Michigan-Ontario League,Port Huron-Sarnia,regular/first,,,36,28,,0.563,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,Michigan-Ontario League,Brantford,regular/first,,,34,28,,0.548,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,Michigan-Ontario League,Hamilton,regular/first,,,33,31,,0.516,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,Michigan-Ontario League,Bay City,regular/first,,,31,31,,0.5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,Michigan-Ontario League,Saginaw,regular/first,,,28,35,,0.444,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,Michigan-Ontario League,Flint,regular/first,,,27,38,,0.415,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,Michigan-Ontario League,Kitchener,regular/first,,,20,38,,0.345,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,Michigan-Ontario League,Bay City,regular/second,,,34,22,,0.607,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,Michigan-Ontario League,Hamilton,regular/second,,,31,24,,0.564,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,Michigan-Ontario League,Brantford,regular/second,,,30,24,,0.556,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,Michigan-Ontario League,London,regular/second,,,31,25,,0.554,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,Michigan-Ontario League,Saginaw,regular/second,,,29,27,,0.518,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,Michigan-Ontario League,Kitchener,regular/second,,,25,30,,0.456,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,Michigan-Ontario League,Port Huron-Sarnia,regular/second,,,22,35,,0.386,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,Michigan-Ontario League,Flint,regular/second,,,21,36,,0.368,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,Michigan-Ontario League,London,regular,,,72,46,,0.61,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,Michigan-Ontario League,Brantford,regular,,,64,52,,0.552,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,Michigan-Ontario League,Bay City,regular,,,65,53,,0.551,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,Michigan-Ontario League,Hamilton,regular,,,64,55,,0.538,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,Michigan-Ontario League,Port Huron-Sarnia,regular,,,58,63,,0.479,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,Michigan-Ontario League,Saginaw,regular,,,57,62,,0.479,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,Michigan-Ontario League,Brantford,regular,,,45,68,,0.398,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,Michigan-Ontario League,Flint,regular,,,48,74,,0.393,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,Michigan-Ontario League,London,final,,,4,2,,0.667,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,Michigan-Ontario League,Bay City,final,,,2,4,,0.333,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,Michigan-Ontario League,London,regular,,,,,,,,,117,,3918,594,,1150,1564,,183,72,29,494,264,,334,,56,191,,229,,0.294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,Michigan-Ontario League,Bay City,regular,,,,,,,,,116,,3805,630,,1106,1516,,192,76,22,524,367,,409,,62,175,,152,,0.291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,Michigan-Ontario League,Brantford,regular,,,,,,,,,116,,3950,588,,1136,1518,,154,51,42,478,395,,415,,42,209,,152,,0.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,Michigan-Ontario League,Port Huron-Sarnia,regular,,,,,,,,,119,,4028,626,,1135,1526,,181,60,30,490,313,,366,,44,192,,75,,0.282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,Michigan-Ontario League,Saginaw,regular,,,,,,,,,118,,3885,583,,1076,1487,,196,67,27,490,364,,407,,37,144,,163,,0.277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,Michigan-Ontario League,Hamilton,regular,,,,,,,,,119,,4068,550,,1109,1439,,145,58,25,442,338,,371,,30,179,,135,,0.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,Michigan-Ontario League,Flint,regular,,,,,,,,,122,,4082,572,,1104,1521,,182,64,39,450,368,,423,,45,178,,152,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,Michigan-Ontario League,Kitchener,regular,,,,,,,,,114,,3690,458,,957,1303,,113,79,25,361,276,,497,,46,169,,144,,0.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921,Michigan-Ontario League,London,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,4704,3071,1465,168,68,0,,,,0.964
1921,Michigan-Ontario League,Flint,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,5032,3182,1636,214,72,0,,,,0.957
1921,Michigan-Ontario League,Brantford,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,4935,3104,1617,214,85,0,,,,0.957
1921,Michigan-Ontario League,Hamilton,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,4946,3189,1523,234,75,1,,,,0.953
1921,Michigan-Ontario League,Bay City,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,4752,3034,1486,232,64,0,,,,0.951
1921,Michigan-Ontario League,Port Huron-Sarnia,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,4990,3127,1615,248,64,0,,,,0.95
1921,Michigan-Ontario League,Saginaw,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,4842,3091,1510,241,62,0,,,,0.95
1921,Michigan-Ontario League,Kitchener,regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,4589,2935,1411,243,77,0,,,,0.947
